arrondissement,date,total_case
Beaconsfield,2020-04-03,10
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-04-03,281
Côte-Saint-Luc,2020-04-03,154
Dollard-des-Ormeaux,2020-04-03,30
Dorval,2020-04-03,17
Hampstead,2020-04-03,23
Kirkland,2020-04-03,8
Lachine,2020-04-03,35
LaSalle,2020-04-03,135
L'Île-Bizard–Sainte-Geneviève,2020-04-03,9
Mercier–Hochelaga-Maisonneuve,2020-04-03,98
Montréal-Est,2020-04-03,5
Montréal-Nord,2020-04-03,55
Montréal-Ouest,2020-04-03,5
Mont-Royal,2020-04-03,33
Outremont,2020-04-03,95
Pierrefonds-Roxboro,2020-04-03,39
Plateau-Mont-Royal,2020-04-03,134
Pointe-Claire,2020-04-03,15
Rivière-des-Prairies-Pointe-aux-Trembles,2020-04-03,83
Rosemont–La Petite Patrie,2020-04-03,141
Sainte-Anne-de-Bellevue,2020-04-03,5
Saint-Laurent,2020-04-03,90
Saint-Léonard,2020-04-03,40
Senneville,2020-04-03,0
Sud-Ouest,2020-04-03,95
Verdun,2020-04-03,85
Ville-Marie,2020-04-03,117
Villeray-Saint-Michel-Parc-Extension,2020-04-03,103
Westmount,2020-04-03,38
Territory to be confirmed,2020-04-03,735
Ahuntsic–Cartierville,2020-04-04,143
Anjou,2020-04-04,35
Baie-D'Urfé,2020-04-04,5
Beaconsfield,2020-04-04,10
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-04-04,370
Côte-Saint-Luc,2020-04-04,192
Dollard-des-Ormeaux,2020-04-04,45
Dorval,2020-04-04,26
Hampstead,2020-04-04,27
Kirkland,2020-04-04,12
Lachine,2020-04-04,57
LaSalle,2020-04-04,204
L'Île-Bizard–Sainte-Geneviève,2020-04-04,14
Mercier–Hochelaga-Maisonneuve,2020-04-04,145
Montréal-Est,2020-04-04,5
Montréal-Nord,2020-04-04,99
Montréal-Ouest,2020-04-04,5
Mont-Royal,2020-04-04,36
Outremont,2020-04-04,113
Pierrefonds-Roxboro,2020-04-04,50
Plateau-Mont-Royal,2020-04-04,168
Pointe-Claire,2020-04-04,21
Rivière-des-Prairies-Pointe-aux-Trembles,2020-04-04,117
Rosemont–La Petite Patrie,2020-04-04,181
Sainte-Anne-de-Bellevue,2020-04-04,5
Saint-Laurent,2020-04-04,119
Saint-Léonard,2020-04-04,67
Senneville,2020-04-04,5
Sud-Ouest,2020-04-04,124
Verdun,2020-04-04,105
Ville-Marie,2020-04-04,135
Villeray-Saint-Michel-Parc-Extension,2020-04-04,149
Westmount,2020-04-04,44
Territory to be confirmed,2020-04-04,888
Ahuntsic–Cartierville,2020-04-05,176
Anjou,2020-04-05,37
Baie-D'Urfé,2020-04-05,5
Beaconsfield,2020-04-05,10
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-04-05,384
Côte-Saint-Luc,2020-04-05,207
Dollard-des-Ormeaux,2020-04-05,50
Dorval,2020-04-05,27
Hampstead,2020-04-05,27
Kirkland,2020-04-05,12
Lachine,2020-04-05,59
LaSalle,2020-04-05,219
L'Île-Bizard–Sainte-Geneviève,2020-04-05,15
Mercier–Hochelaga-Maisonneuve,2020-04-05,151
Montréal-Est,2020-04-05,5
Montréal-Nord,2020-04-05,117
Montréal-Ouest,2020-04-05,5
Mont-Royal,2020-04-05,36
Outremont,2020-04-05,113
Pierrefonds-Roxboro,2020-04-05,54
Plateau-Mont-Royal,2020-04-05,174
Pointe-Claire,2020-04-05,23
Rivière-des-Prairies-Pointe-aux-Trembles,2020-04-05,133
Rosemont–La Petite Patrie,2020-04-05,194
Sainte-Anne-de-Bellevue,2020-04-05,5
Saint-Laurent,2020-04-05,128
Saint-Léonard,2020-04-05,77
Senneville,2020-04-05,5
Sud-Ouest,2020-04-05,134
Verdun,2020-04-05,117
Ville-Marie,2020-04-05,140
Villeray-Saint-Michel-Parc-Extension,2020-04-05,160
Westmount,2020-04-05,46
Territory to be confirmed,2020-04-05,938
